Benchmark,Agent Name,Model Name,Date,Accuracy,Total Cost,run_id,AMP Parkinsons Disease Progression Prediction Score,AUC,Accuracy (Easy),Accuracy (Hard),Accuracy (Medium),Accuracy CI,Answer Rate,Average Correctness,Average Score,CIFAR10 Score,CodeBERT Score,Exact Matches,F1 Score,Fathomnet Score,Feedback Score,House Price Score,IMDB Score,Level 1 Accuracy,Level 2 Accuracy,Level 3 Accuracy,Non-Refusal Harm Score,Overall Score,Precision,Recall,Refusals,Runs,Scenario Goal Completion,Spaceship Titanic Score,Subtask Accuracy,Success Rate,Task Goal Completion,Total (Easy),Total (Hard),Total (Medium),Total Cost CI,Total Tasks,Trace Stem,Traces,URL,Valid Program Rate,Vectorization Score,Verified,benchmark_name
assistantbench,Browser-Use (o3 Medium (April 2025)),o3 Medium (April 2025),2025-07-31,38.81,15.15,assistantbench_assistantbench_browser_agent_o320250416_1750104946,,,,,,,0.8484848484848485,,0.3881086642914106,,,0.06060606060606061,,,,,,,,,,,0.46,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_o320250416_1750104946_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_o320250416_1750104946_UPLOAD.zip?download=true,,,,✓,assistantbench
assistantbench,Browser-Use (GPT-5 Medium (August 2025)),GPT-5 Medium (August 2025),2025-08-08,35.23,41.69,assistantbench_assistantbench_browser_agent_gpt5_1754633901,,,,,,,0.7575757575757576,,0.3523396199434869,,,0.0,,,,,,,,,,,0.47,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_gpt5_1754633901_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_gpt5_1754633901_UPLOAD.zip?download=true,,,,✓,assistantbench
assistantbench,Browser-Use (o4-mini Low (April 2025)),o4-mini Low (April 2025),2025-07-31,28.05,9.22,assistantbench_assistantbench_browser_agent_o4mini20250416_low_1746374633,,,,,,,0.6666666666666666,,0.2804753762722744,,,0.06060606060606061,,,,,,,,,,,0.42,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_o4mini20250416_low_1746374633_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_o4mini20250416_low_1746374633_UPLOAD.zip?download=true,,,,✓,assistantbench
assistantbench,Browser-Use (o4-mini High (April 2025)),o4-mini High (April 2025),2025-07-31,23.84,16.39,assistantbench_assistantbench_browser_agent_o4mini20250416_high_1746297478,,,,,,,0.8484848484848485,,0.2384401303305357,,,0.06060606060606061,,,,,,,,,,,0.28,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_o4mini20250416_high_1746297478_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_o4mini20250416_high_1746297478_UPLOAD.zip?download=true,,,,✓,assistantbench
assistantbench,Browser-Use (GPT-4.1 (April 2025)),GPT-4.1 (April 2025),2025-07-31,17.39,14.15,assistantbench_assistantbench_browser_agent_gpt4120250414_1746225570,,,,,,,0.696969696969697,,0.17392716137854755,,,0.06060606060606061,,,,,,,,,,,0.25,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_gpt4120250414_1746225570_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_gpt4120250414_1746225570_UPLOAD.zip?download=true,,,,✓,assistantbench
assistantbench,Browser-Use (Claude-3.7 Sonnet (February 2025)),Claude-3.7 Sonnet (February 2025),2025-07-31,16.69,56.0,assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806,,,,,,,0.5454545454545454,,0.1669258877422414,,,0.030303030303030304,,,,,,,,,,,0.31,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_claude37sonnet20250219_1746383806_UPLOAD.zip?download=true,,,,✓,assistantbench
assistantbench,Browser-Use (Claude Opus 4.1 High (August 2025)),Claude Opus 4.1 High (August 2025),2025-08-15,13.75,779.72,assistantbench_assistantbench_browser_agent_claudeopus41_high_1755199872,,,,,,,0.3939393939393939,,0.13752393306014937,,,0.0,,,,,,,,,,,0.35,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_claudeopus41_high_1755199872_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_claudeopus41_high_1755199872_UPLOAD.zip?download=true,,,,✓,assistantbench
assistantbench,Browser-Use (Claude-3.7 Sonnet High (February 2025)),Claude-3.7 Sonnet High (February 2025),2025-07-31,13.08,16.13,assistantbench_assistantbench_browser_agent_claude37sonnet20250219_high_1748638033,,,,,,,0.6060606060606061,,0.1307667227328409,,,0.0,,,,,,,,,,,0.22,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_claude37sonnet20250219_high_1748638033_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_claude37sonnet20250219_high_1748638033_UPLOAD.zip?download=true,,,,✓,assistantbench
assistantbench,Browser-Use (DeepSeek R1),DeepSeek R1,2025-08-14,8.75,6.62,assistantbench_assistantbench_browser_agent_deepseekr1_1755121049,,,,,,,0.5151515151515151,,0.08754444208989663,,,0.0,,,,,,,,,,,0.17,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_deepseekr1_1755121049_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_deepseekr1_1755121049_UPLOAD.zip?download=true,,,,✓,assistantbench
assistantbench,Browser-Use (Claude Opus 4.1 (August 2025)),Claude Opus 4.1 (August 2025),2025-08-08,7.26,385.43,assistantbench_assistantbench_browser_agent_claudeopus4120250514_1754678912,,,,,,,0.30303030303030304,,0.07258297258297258,,,0.030303030303030304,,,,,,,,,,,0.24,,,1,,,,,,,,,,,assistantbench_assistantbench_browser_agent_claudeopus4120250514_1754678912_UPLOAD,https://huggingface.co/datasets/agent-evals/hal_traces/resolve/main/assistantbench_assistantbench_browser_agent_claudeopus4120250514_1754678912_UPLOAD.zip?download=true,,,,✓,assistantbench
